id,code,project_name,field,cost,benefit,cost_year_1_2,cost_year_3_5,npv_per_cost,completion_prob,expected_benefit,expected_npv_per_cost
1,P1,Trung tâm dữ liệu quốc gia Hòa Lạc,Hạ tầng,12000,21500,8500,3500,1.7916666666666667,0.85,18275.0,1.5229166666666667
2,P2,Trung tâm dữ liệu quốc gia phía Nam,Hạ tầng,11500,20800,7500,4000,1.808695652173913,0.85,17680.0,1.537391304347826
3,P3,Hệ thống 5G phủ sóng toàn quốc,Hạ tầng,18000,32500,12000,6000,1.8055555555555556,0.85,27625.0,1.5347222222222223
4,P4,Hệ thống định danh điện tử VNeID 2.0,Chính phủ số,4500,9200,3500,1000,2.0444444444444443,0.75,6900.0,1.5333333333333334
5,P5,Cổng dịch vụ công quốc gia v3,Chính phủ số,3200,6800,2500,700,2.125,0.75,5100.0,1.59375
6,P6,Y tế số quốc gia (hồ sơ sức khỏe),Y tế số,5800,11400,4000,1800,1.9655172413793103,0.8,9120.0,1.5724137931034483
7,P7,Giáo dục số K-12 toàn quốc,Giáo dục,6500,12200,4500,2000,1.876923076923077,0.8,9760.0,1.5015384615384615
8,P8,Trung tâm AI quốc gia + supercomputing,AI,15000,28500,9000,6000,1.9,0.65,18525.0,1.235
9,P9,Sandbox tài chính số (fintech),Tài chính số,2500,5800,1800,700,2.32,0.8,4640.0,1.856
10,P10,Logistics thông minh + cảng biển số,Logistics,7200,13800,5000,2200,1.9166666666666667,0.8,11040.0,1.5333333333333334
11,P11,Nông nghiệp số ĐBSCL,Nông nghiệp,4800,8500,3500,1300,1.7708333333333333,0.8,6800.0,1.4166666666666667
12,P12,Đào tạo 50.000 kỹ sư AI/bán dẫn,Nhân lực,8500,16200,5500,3000,1.9058823529411764,0.8,12960.0,1.5247058823529411
13,P13,Khu CN bán dẫn Bắc Ninh - Bắc Giang,Bán dẫn,20000,35000,13000,7000,1.75,0.65,22750.0,1.1375
14,P14,An ninh mạng quốc gia (SOC),An ninh,3800,7500,2800,1000,1.9736842105263157,0.8,6000.0,1.5789473684210527
15,P15,Open Data + dữ liệu mở quốc gia,Dữ liệu,1500,3800,1200,300,2.533333333333333,0.8,3040.0,2.026666666666667
